Company Name,Job Title,Job Description,Rating,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,state,age
Tecolote Research,Data Scientist,data scientistloc albuquerqu nmeduc requir bachelor degre requir prefer math engin busi scienc skill requir bachelor degre relev field math data analysi databas comput scienc artifici intellig ai three year experi credit master degre five year experi credit ph dapplic profici use power bi tableau python matlab microsoft word powerpoint excel work knowledg ms access lm sa data visual tool strong algorithm aptitudeexcel verbal written commun skill quantit analyt skill requiredapplic must abl work team environmentu citizenship abil obtain dod secret clearanc requiredrespons applic respons formul analyt solut complex data problem creat data analyt model improv data metric analyz custom behavior trend deliv insight stakehold well design craft report dashboard model algorithm make data insight action select featur build optim classifi use machin learn techniqu data mine use state art method extend organ data third parti sourc inform need enhanc data collect procedur includ inform relev build analyt system process cleans verifi integr data use analysi ad hoc analysi present result clear manner creat autom anomali detect system constant track perform benefit offer competit salari commensur educ experi excel benefit packag includ comprehens health dental life long short term disabl insur compani fund retir plansgener vacat holiday sick pay planstuit assistancebenefit provid employe regularli work minimum hour per week tecolot research privat employe own corpor peopl primari resourc invest technolog train give employe tool ensur client provid solut need high employe retent rate stabl workforc ad valu custom appli connect compani invest,3.8,"Goleta, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,53.0,91.0,72.0, NM,47
University of Maryland Medical System,Healthcare Data Scientist,gener summaryth healthcar data scientist posit join advanc analyt group univers maryland medic system umm support strateg prioriti becom data driven outcom orient organ success candid year experi machin learn predict model statist analysi mathemat optim algorithm develop passion work healthcar data previou experi variou comput approach along abil demonstr portfolio relev prior project essenti posit report umm vice presid enterpris data analyt ed ii princip respons task develop predict prescript analyt model support organ clinic oper busi initi prioriti deploy solut provid action insight organ embed integr applic system support drive analyt effort design around organ strateg prioriti clinic busi problem work team drive disrupt innov may translat improv qualiti care clinic outcom reduc cost tempor effici process improv build extend analyt portfolio support robust document work autonomi find solut complex problem use open sourc tool hous develop stay abreast state art literatur field oper research statist model statist process control mathemat optim creat commun manag project plan requir project document provid updat leadership necessari develop maintain relationship busi clinic leader stakehold across enterpris facilit collabor effect commun work analyt team clinic busi stakehold develop pilot may test valid pilot set perform analysi evalu primari secondari object pilot assist leadership strategi scale success project across organ enhanc analyt applic base feedback end user clinic busi consum assist leadership dissemin success stori failur effort increas analyt literaci adopt across organ need success iii educ experi master higher degre may substitut relev work experi appli mathemat physic comput scienc engin statist relat field year mathemat optim machin learn predict analyt algorithm develop experi experi tool weka rapidmin python open sourc tool strongli desir strong develop skill two follow python java combin analyt method advanc data visual expert abil breakdown clearli defin problem experi natur languag process preferrediv knowledg skill abil proven commun skill effect work independ collabor staff member capabl clearli present find oral write graphic proven analyt skill abl compar contrast valid work keen attent detail skill work real world data includ scrub transform imput proven problem solv skill abl plan work set clear direct coordin task fast pace multidisciplinari environ expert triag issu identifi data anomali debug softwar design prototyp new applic function product chang orient activ gener process improv support drive chang confront difficult circumst creativ way effect commun chang agent abil priorit task project timelin achiev desir result strong analyt problem solv skill abil cooper effect work peopl variou organ levelsw equal opportun employ discrimin employe applic employ race color sex age nation origin religion sexual orient gender ident statu veteran basi disabl feder state local protect class,3.4,"Baltimore, MD",10000+ employees,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,63.0,112.0,87.5, MD,36
KnowBe4,Data Scientist,knowb inc high growth inform secur compani world largest provid new school secur awar train simul phish knowb creat help organ manag ongo problem social engin ten thousand organ worldwid use knowb platform mobil end user last line defens enabl make better secur decis everi day rank best place work technolog nationwid fortun magazin place tampa bay top workplac survey last four year also th record set quarter row data scientist work close vp fp quantit analyt manag implement advanc analyt model data driven solut respons work key stakehold throughout organ identifi opportun use financi data develop busi solut develop new enhanc exist data collect procedur ensur data relev analys captur cleans consolid verifi integr data use analys build valid predict model increas custom retent revenu gener busi outcom develop relev statist model assist profit forecastingcr analyt leverag known infer append inform origin recogn pattern assist outlook forecastingassist design data model data warehous visual data especi report dashboard commun analysi result stakehold extend data collect unstructur data within compani extern sourcesmin collect data structur unstructur detect pattern opportun insight drive organizationcr execut autom data mine request util sql access excel sa statist programstroubl shoot forecast optim anomali fp team use statist mathemat optim model develop test explain reduc anomali overse develop key metric forecast well provid budget support base trend busi industri minimum qualif master degre statist comput scienc mathemat quantit disciplin requir year experi similar role master degre year experi similar role phd experi leverag predict model big data analyt exploratori data analysi machin learn drive signific busi impactexperi statist comput languag python etc manipul analyz larg dataset prefer experi data visual tool like js matplotlib etc preferredexcept understand machin learn algorithm random forest svm nn naïv bay gradient boost plu appli statist skill includ statist test regress etc experi data base queri languag associ data architectur experi distribut comput tool hive spark etc plu strong analyt skill abil meet project deadlin note applic assess background check drug test may part hire procedur recruit agenc pleas,4.8,"Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,80.0,90.0,85.0, FL,10
PNNL,Data Scientist,organ job id job id director earth biolog sciencesdivis biolog sciencesgroup exposur scienc team job descript biolog system scienc bss group biolog scienc divis pacif northwest nation laboratori pnnl seek staff scientist multidisciplinari experi comput chemistri cheminformat advanc statist machin learn deep learn ai prefer candid broad understand state comput metabolom experi design implement novel deep learn network chemistri applic research experi drug design cheminformat deep learn machin learn small molecul identif also highli valu success candid join larg uniqu collabor collegi group innov drive integr data scienc comput scienc analyt chemistri solv nation challeng problem human health chemic forens nation secur bss group divers inclus work close colleagu across laboratori expertis comput biolog integr omic appli mathemat comput scienc statist appli knowledg statist machin learn advanc mathemat simul softwar develop data model design develop implement method integr clean analyz data recogn pattern address uncertainti pose question make discoveri structur unstructur data produc solut driven exploratori data analysi complex high dimension dataset design develop evalu predict model advanc algorithm lead optim valu extract data develop maintain exist deep learn network gener novel molecul drug discoveri applic contribu author propos peer review paper technic product minimum qualif bs ba year experi ms year experi prefer qualif ms chemic engin comput scienc relat field gpa year research experi intermedi level program experi prefer python high perform comput experi least one first author publish proof submit paper appli deep learn use novel compound gener understand nmda receptor potenti drug target research experi drug design cheminformat deep learn machin learn small molecul identif equal employ opportun battel memori institut bmi pacif northwest nation laboratori pnnl affirm action equal opportun employ support divers workplac employ decis made without regard race color religion sex nation origin age disabl veteran statu marit famili statu sexual orient gender ident genet inform bmi staff must abl demonstr legal right work unit state bmi verifi employ learn job pnnl gov _pleas awar depart energi doe prohibit doe employe contractor particip certain foreign govern talent recruit program offer posit pnnl current particip foreign govern talent recruit program requir disclos inform first day employ _director _earth biolog sciences__job categori _scientist scientif support__group _biolog system science__open date __close date,3.8,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56.0,97.0,76.5, WA,55
Affinity Solutions,Data Scientist,data scientistaffin solut market cloud seek smart curiou technic savvi candid join cut edg data scienc team hire best brightest give opportun work industri lead technolog data scienc team af market cloud build model machin learn algorithm power ad tech mar tech product scale develop methodolog tool precis effect measur market campaign effect research hous public data sourc consum spend behavior insight role opportun come new idea solut lead improv abil target right audienc deriv insight provid better measur methodolog market campaign access core data asset machin learn infrastructur power idea duti respons support client model build need includ maintain improv current model score methodolog process provid innov solut custom model score target appropri ml statist tool provid analyt statist support market test design project campaign measur market insight client stakehold mine larg consum dataset cloud environ support ad hoc busi statist analysi develop improv autom capabl enabl custom deliveri analyt product client commun methodolog result manag client none technic stakehold basic qualif advanc degre statist mathemat comput scienc econom field requir advanc train data analyt abl appli basic statist ml concept reason address solv busi problem target test design kpi project perform measur entrepreneuri highli self motiv collabor keen attent detail willing capabl learn quickli abil effect priorit execut task high pressur environ flexibl accept differ task assign abl work tight time schedul excel command one program languag prefer python sa familiar one databas technolog postgresql mysql write basic sql queri great commun skill verbal written present prefer qualif experi exposur larg consum demograph data set familiar data manipul clean routin techniqu,2.9,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",86.0,143.0,114.5, NY,22
CyrusOne,Data Scientist,cyruson seek talent data scientist hold rang data focus skill technic analyt domain ideal candid adept process cleans verifi integr data use visual analysi role dynam grant candid opportun particip wide varieti project collabor mani cross function team throughout busi duti respons particip agil scrum cadenceprocess cleans verifi integr data use analysisperform function busi requir analysi data analysisdevelop data model algorithm appli data setsaug data collect procedur includ necessari inform build accur analyticscollabor stakehold throughout organ identifi opportun leverag data drive busi solutionsevalu effect accuraci data sourc data gather techniquesgath critic inform meet variou stakehold produc use reportscoordin cross function team implement model monitor outcomesdevelop autom discrep detect system distribut reconcili report stakeholdersrequir must legal author work unit state employ without sponsorshipprofession experi use statist softwar languag like python sql queri manipul draw insight data setsstrong problem solv skill emphasi product developmentextens experi microsoft sql mysql mongodbunderstand version control git project manag azur devopsknowledg machin learn techniqu cluster decis tree learn artifici neural network etc experi visual data stakehold use visual tool power biexperi work creat data architecturesunderstand adher agil principl practices work problem scope analysi situat data requir review varieti factorsself maintain reliabl minim supervisionexcel interperson commun decis make present organiz skillsabl build product intern extern work relationshipsharmoni cyruson cultur core valu busi goalsminimum qualif year relat experi data analyst rolestrong attitud time sensit environmentoth import inform posit posit requir typic weekday monday friday attend offic set time hour work may requir meet busi custom needseveri posit requir certain physic capabl cyruson seek make reason accommod enabl individu disabl perform essenti duti possiblecyruson equal opportun employ qualifi applic receiv consider employ without regard race color sex sexual orient gender ident religion nation origin disabl veteran statu legal protect statu cyruson provid reason accommod qualifi individu disabl accord american disabl act ada state local law respond request reason accommod assist appli posit cyruson submit resum need request accommod pleas contact human resourc option email hr cyruson com,3.4,"Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71.0,119.0,95.0, TX,20
ClearOne Advantage,Data Scientist,job descript pleas local candid appli thank clearon advantag fast grow compani aggress hire due increas busi alway improv market cultur technolog provid employe best work atmospher custom excel custom servic coa proprietari softwar tailor industri allow client receiv best servic possibl look data scientist analyz larg amount raw inform find pattern help improv compani reli build data product extract valuabl busi insight role highli analyt knack analysi math statist critic think problem solv skill essenti interpret data want see passion machin learn research goal help compani analyz trend make better decis look work team environ place name number interact leadership daili pleas send resum review perk great locat right water canton cross towercasu work environ wfh flexibilityroom advancementwhat identifi valuabl data sourc autom collect processesundertak preprocess structur unstructur dataanalyz larg amount inform discov trend patternsbuild predict model machin learn algorithmscombin model ensembl modelingpres inform use data visual techniquespropos solut strategi busi challengescollabor engin product develop team,4.1,"Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54.0,93.0,73.5, MD,12
Logic2,Data Scientist,advanc analyt lead data scientistovervieww look data scientist join data scienc team work interest project help client make data driven solut data scientist work close client understand busi need frame statist problem solv cut edg techniqu collabor team includ machin learn engin data engin analyst tpm defin task provid estim work togeth deliv world class solut ideal candid balanc technic skill busi acumen help client better understand core need understand technic limit experi partner commun execut manag team understand busi need pain pointsabl commun data scienc concept busi stakeholderspass applic machin learn real world problemsadept develop iter solut rapidly lead develop data scienc solutionswhat offer consult experi work larg enterpris client mid size clientsprogress respons encourag ownership designopportun learn gain experi complimentari skill meet facilit data manag project manag data model data managementcompani cultur celebr foster cultur act integr drive toward excel fun worktrain certif opportun support career logic variou opportun give back commun compani sponsor eventsrequir qualificationsexperi build machin learn model use pythonexperi deploy machin learn model product environmentstrong knowledg probabl statisticsexperi tensorflow pytorchexperi write sql queri databas structur modifi datademonstr abil frame busi problem statist problem solv themabl work independ part teamexperi work ambigu dynam environ move quicklyan undergradu degre mathemat comput scienc engin preferredpref qualificationspass experi drive adopt machin learn industryexperi deploy machin learn larg scale spark big data technologyexperi build system awsexperi comput vision deep neural networksexperi lead workshop execut drive requir gatheringmast phd data scienc relat fieldabout logic logic one seattl fastest grow full servic consult firm core compet creat simplic effici complex solut although make look like magic succeed combin method structur approach substanti experi design eleg solut even intric challeng rapid growth respons abil deliv consist client directli relat qualiti peopl hire past four year top best compani work team member highli self motiv comfort conceiv strategi fli enjoy work individu part team environ high energi demand individu remark enthusiasm attitud join team lot fun focu employe client work bring best everi opportun,3.8,"Seattle, WA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,86.0,142.0,114.0, CA,15
Rochester Regional Health,Research Scientist,summaryth research scientist task oversight research divis cancer biolog research rochest gener hospit research institut strong background molecular biolog cancer biolog research prefer mous model use research statu full timeloc rgh research institutedepart cancer biologyschedul monday friday daysattributesmd phd self support salari research programfunct minim direct research scientist ii senior research scientist laboratori director strong analyt comput leadership problem solv skillsresponsibilitiesconduct research project includ complex experi parallel util current concept recogn standard techniqu develop new protocol necessarydemonstr high level initi perform experi analyz data draw conclus regard progress result work maintain familiar current emerg technolog read understand scientif technic literatur result broaden understand disciplin outsid area train enabl use new improv procedur laboratori duti perform understand drug discoveri area special educ phd md rochest region health equal opportun affirm action employ minor femal disabl veteran,3.3,"Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,38.0,84.0,61.0, NY,6
intent,Data Scientist,usual compani work power premis everi person uniqu possess distinct set skill person passion embrac collect talent tackl technic challeng refin success disrupt busi idea co creat one human inspir work cultur team collabor valu reward share success individu heroic member data scienc team use quantit expertis identifi new area research optim see idea product data scienc fundament contributor intent success work direct tangibl impact busi typic project workflow might involv perform research analysi petabyt histor data use collect larg scale analyt tool like spark snowflak redshift build prototyp use mostli scala anoth function languag pair engin model predict team harden deploy function run live test monitor result step take place environ respect collabor data scienc team empow agil process everi member team expect student teacher believ effect data scienc team one collect learn grow experi coach mentor colleagu level strongli desir part data scienc team help build real time predict analyt platform make decis largest site web signific industri experi sever follow area person experi big data analyt implement machin learn statist method design run test product design life cycl write product code design onlin auction experi user experi custom plusexperi coach mentor team membersexperi write product softwar languag like scala clojur java python agil collabor environmentexperi handl larg amount data tb product settingexperi spark signific plusexperi ad tech plusabout us data scienc compani world lead onlin commerc travel brand predict intellig platform use patent technolog predict user behavior real time identifi futur valu everi user innov brand countri trust intent real time predict deliv person user experi maxim util roi team peopl offic span global headquart nyc locat london kuala lumpur sao paulo everi day inspir two pursuit first build novel product upend commerc second build compani alway want work one open human collabor smart peopl come togeth share idea get thing done includ built nyc best place work list crain best place work nyc list seven year run love job employe enjoy come work let know valu vibrant team accomplish lot everi day insist upon work life balanc thing never becom stale take serious take work serious believ order employe perform best need access strateg decis flat structur open commun invit innov level idea flow freeli offer competit compens stock option great perk benefit includ unlimit vacationa gener parent leav policya beauti dog friendli offic soho drink snacksan open environ lot natur light roof deck accessannu learn budget citi bike membershipaccess fond employe perk program featur deal discount hundr product servicesaccess sherpaa telehealth servic offic yoga classescompani wide social event wait appli resum click usour productsour dogstwitterinstagram,4.6,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120.0,160.0,140.0, NY,11
